CMDLINE ./run.sh
MEM 0.140625 1764287261.1085
MEM 1.906250 1764287261.2088
MEM 1.906250 1764287261.3092
MEM 1.906250 1764287261.4124
MEM 1.906250 1764287261.5175
MEM 1.906250 1764287261.6207
MEM 1.906250 1764287261.7259
MEM 0.921875 1764287261.8291
MEM 0.937500 1764287261.9305
MEM 0.843750 1764287262.0307
MEM 0.843750 1764287262.1311
MEM 0.843750 1764287262.2338
MEM 0.843750 1764287262.3370
MEM 0.843750 1764287262.4372
MEM 0.843750 1764287262.5378
MEM 0.843750 1764287262.6388
MEM 0.843750 1764287262.7392
MEM 0.843750 1764287262.8408
MEM 0.843750 1764287262.9421
MEM 0.843750 1764287263.0469
MEM 0.843750 1764287263.1520
MEM 0.843750 1764287263.2571
MEM 0.843750 1764287263.3573
MEM 0.843750 1764287263.4607
MEM 0.843750 1764287263.5659
MEM 0.843750 1764287263.6662
MEM 0.843750 1764287263.7706
MEM 0.843750 1764287263.8758
MEM 0.843750 1764287263.9774
MEM 0.843750 1764287264.0792
MEM 0.843750 1764287264.1843
MEM 0.843750 1764287264.2857
MEM 0.843750 1764287264.3874
MEM 0.843750 1764287264.4880
MEM 0.843750 1764287264.5889
MEM 0.843750 1764287264.6896
MEM 0.843750 1764287264.7898
MEM 0.843750 1764287264.8950
MEM 0.843750 1764287264.9962
MEM 0.843750 1764287265.0981
MEM 0.843750 1764287265.1989
MEM 0.843750 1764287265.3041
MEM 0.843750 1764287265.4047
MEM 0.843750 1764287265.5055
MEM 0.843750 1764287265.6083
MEM 0.843750 1764287265.7135
MEM 0.843750 1764287265.8168
MEM 0.843750 1764287265.9213
MEM 0.843750 1764287266.0250
MEM 0.843750 1764287266.1282
MEM 0.843750 1764287266.2333
MEM 0.843750 1764287266.3342
MEM 0.843750 1764287266.4394
MEM 0.843750 1764287266.5417
MEM 0.843750 1764287266.6424
MEM 0.843750 1764287266.7433
MEM 0.843750 1764287266.8438
MEM 0.843750 1764287266.9490
MEM 0.843750 1764287267.0501
MEM 0.843750 1764287267.1553
MEM 0.843750 1764287267.2605
MEM 0.843750 1764287267.3657
MEM 0.843750 1764287267.4698
MEM 0.812500 1764287267.5749
MEM 0.812500 1764287267.6802
MEM 0.812500 1764287267.7828
MEM 0.812500 1764287267.8869
MEM 0.812500 1764287267.9873
MEM 0.812500 1764287268.0878
MEM 0.812500 1764287268.1930
MEM 0.812500 1764287268.2962
MEM 0.812500 1764287268.4014
MEM 0.796875 1764287268.5019
MEM 0.796875 1764287268.6043
MEM 0.781250 1764287268.7047
MEM 0.781250 1764287268.8099
MEM 0.765625 1764287268.9120
MEM 0.765625 1764287269.0171
MEM 0.765625 1764287269.1210
MEM 0.765625 1764287269.2263
MEM 0.765625 1764287269.3314
MEM 0.765625 1764287269.4365
MEM 0.765625 1764287269.5369
MEM 0.765625 1764287269.6372
MEM 0.765625 1764287269.7385
MEM 0.765625 1764287269.8421
MEM 0.765625 1764287269.9451
MEM 0.765625 1764287270.0503
MEM 0.765625 1764287270.1512
MEM 0.765625 1764287270.2518
MEM 0.750000 1764287270.3570
MEM 0.750000 1764287270.4621
MEM 0.734375 1764287270.5628
MEM 0.343750 1764287270.6679
MEM 0.343750 1764287270.7686
MEM 0.343750 1764287270.8706
MEM 0.343750 1764287270.9745
MEM 0.343750 1764287271.0753
MEM 0.328125 1764287271.1763
MEM 0.343750 1764287271.2814
MEM 0.343750 1764287271.3818
MEM 0.343750 1764287271.4824
MEM 0.343750 1764287271.5880
MEM 0.343750 1764287271.6901
MEM 0.343750 1764287271.7940
MEM 0.343750 1764287271.8944
MEM 0.343750 1764287271.9978
MEM 0.343750 1764287272.1019
MEM 0.328125 1764287272.2071
MEM 0.328125 1764287272.3123
MEM 0.328125 1764287272.4172
MEM 0.328125 1764287272.5206
MEM 0.328125 1764287272.6209
MEM 0.312500 1764287272.7211
MEM 0.312500 1764287272.8263
MEM 0.312500 1764287272.9271
MEM 0.312500 1764287273.0274
MEM 0.312500 1764287273.1297
MEM 0.312500 1764287273.2348
MEM 0.312500 1764287273.3357
MEM 0.312500 1764287273.4394
MEM 0.312500 1764287273.5445
MEM 0.312500 1764287273.6502
MEM 0.312500 1764287273.7547
MEM 0.312500 1764287273.8554
MEM 0.312500 1764287273.9608
MEM 0.312500 1764287274.0654
MEM 0.328125 1764287274.1698
MEM 0.328125 1764287274.2750
MEM 0.328125 1764287274.3803
MEM 0.328125 1764287274.4852
MEM 0.328125 1764287274.5901
MEM 0.328125 1764287274.6943
MEM 0.328125 1764287274.7979
MEM 0.328125 1764287274.9032
MEM 0.328125 1764287275.0085
MEM 0.328125 1764287275.1099
MEM 0.328125 1764287275.2140
MEM 0.328125 1764287275.3160
MEM 0.328125 1764287275.4206
MEM 0.328125 1764287275.5233
MEM 0.328125 1764287275.6258
MEM 0.328125 1764287275.7276
MEM 0.328125 1764287275.8326
MEM 0.328125 1764287275.9359
MEM 0.328125 1764287276.0409
MEM 0.328125 1764287276.1455
MEM 0.328125 1764287276.2507
MEM 0.328125 1764287276.3559
MEM 0.328125 1764287276.4578
MEM 0.328125 1764287276.5597
MEM 0.328125 1764287276.6641
MEM 0.328125 1764287276.7684
MEM 0.328125 1764287276.8730
MEM 0.328125 1764287276.9782
MEM 0.328125 1764287277.0807
MEM 0.328125 1764287277.1857
MEM 0.328125 1764287277.2909
MEM 0.328125 1764287277.3918
MEM 0.328125 1764287277.4969
MEM 0.328125 1764287277.5972
MEM 0.328125 1764287277.7002
MEM 0.328125 1764287277.8055
MEM 0.328125 1764287277.9077
MEM 0.328125 1764287278.0088
MEM 0.328125 1764287278.1140
MEM 0.328125 1764287278.2192
MEM 0.328125 1764287278.3243
MEM 0.328125 1764287278.4265
MEM 0.328125 1764287278.5318
MEM 0.328125 1764287278.6342
MEM 0.328125 1764287278.7393
MEM 0.328125 1764287278.8439
MEM 0.328125 1764287278.9484
MEM 0.328125 1764287279.0509
MEM 0.328125 1764287279.1530
MEM 0.328125 1764287279.2581
MEM 0.328125 1764287279.3635
MEM 0.328125 1764287279.4690
MEM 0.328125 1764287279.5703
MEM 0.328125 1764287279.6762
MEM 0.328125 1764287279.7766
MEM 0.328125 1764287279.8803
MEM 0.328125 1764287279.9847
MEM 0.328125 1764287280.0891
MEM 0.328125 1764287280.1935
MEM 0.328125 1764287280.2990
MEM 0.328125 1764287280.4015
MEM 0.328125 1764287280.5056
MEM 0.328125 1764287280.6092
MEM 0.328125 1764287280.7123
MEM 0.328125 1764287280.8159
MEM 0.328125 1764287280.9215
MEM 0.328125 1764287281.0256
MEM 0.328125 1764287281.1308
MEM 0.328125 1764287281.2357
MEM 0.328125 1764287281.3385
MEM 0.328125 1764287281.4392
MEM 0.328125 1764287281.5413
MEM 0.328125 1764287281.6440
MEM 0.328125 1764287281.7478
MEM 0.328125 1764287281.8518
MEM 0.328125 1764287281.9568
