CMDLINE python3 pipeline.py
MEM 0.125000 1764810629.2163
MEM 34.906250 1764810629.3215
MEM 111.359375 1764810629.4266
MEM 142.000000 1764810629.5317
MEM 160.968750 1764810629.6369
MEM 175.609375 1764810629.7420
MEM 189.015625 1764810629.8427
MEM 208.578125 1764810629.9479
MEM 217.750000 1764810630.0510
MEM 221.000000 1764810630.1561
MEM 223.078125 1764810630.2594
MEM 225.421875 1764810630.3646
MEM 227.062500 1764810630.4697
MEM 227.390625 1764810630.5748
MEM 239.468750 1764810630.6761
MEM 260.281250 1764810630.7812
MEM 275.375000 1764810630.8863
MEM 286.187500 1764810630.9914
MEM 302.140625 1764810631.0965
MEM 313.187500 1764810631.2016
MEM 325.500000 1764810631.3038
MEM 336.593750 1764810631.4090
MEM 344.234375 1764810631.5141
MEM 365.890625 1764810631.6193
MEM 383.781250 1764810631.7244
MEM 403.531250 1764810631.8295
MEM 411.140625 1764810631.9347
MEM 423.671875 1764810632.0399
MEM 432.140625 1764810632.1450
MEM 443.562500 1764810632.2502
MEM 456.484375 1764810632.3521
MEM 2038.640625 1764810632.4573
MEM 4003.171875 1764810632.5594
MEM 6011.375000 1764810632.6646
MEM 7975.828125 1764810632.7697
MEM 10005.796875 1764810632.8749
MEM 11968.937500 1764810632.9801
MEM 13685.359375 1764810633.0853
MEM 13685.359375 1764810633.1904
MEM 13685.359375 1764810633.2928
MEM 13685.359375 1764810633.3942
MEM 13685.359375 1764810633.4994
MEM 13685.359375 1764810633.6045
MEM 13685.359375 1764810633.7097
MEM 13685.359375 1764810633.8149
MEM 13685.359375 1764810633.9201
MEM 13685.359375 1764810634.0253
MEM 13685.359375 1764810634.1268
MEM 13685.359375 1764810634.2320
MEM 13685.359375 1764810634.3345
MEM 13685.359375 1764810634.4397
MEM 13685.359375 1764810634.5449
MEM 13685.359375 1764810634.6501
MEM 13685.359375 1764810634.7553
MEM 13685.359375 1764810634.8604
MEM 13685.359375 1764810634.9656
MEM 13685.359375 1764810635.0708
MEM 13685.453125 1764810635.1758
MEM 13685.453125 1764810635.2780
MEM 13685.453125 1764810635.3832
MEM 13685.453125 1764810635.4884
MEM 13685.453125 1764810635.5934
MEM 13685.453125 1764810635.6938
MEM 13685.453125 1764810635.7968
MEM 13685.453125 1764810635.9020
MEM 13685.453125 1764810636.0039
MEM 13685.453125 1764810636.1052
MEM 13685.453125 1764810636.2104
MEM 13685.453125 1764810636.3155
MEM 13685.453125 1764810636.4157
MEM 13579.375000 1764810636.5176
MEM 13234.484375 1764810636.6228
MEM 12348.890625 1764810636.7280
MEM 11474.312500 1764810636.8333
MEM 11474.312500 1764810636.9385
MEM 11474.312500 1764810637.0436
MEM 11474.312500 1764810637.1438
MEM 11474.312500 1764810637.2487
MEM 11474.312500 1764810637.3539
MEM 11474.312500 1764810637.4591
MEM 11474.312500 1764810637.5642
MEM 11474.312500 1764810637.6694
MEM 11474.312500 1764810637.7745
MEM 11474.312500 1764810637.8797
MEM 11474.312500 1764810637.9845
